System,Setting,Bucket,Theme,Tweet,anno_1,anno_2,Agree,tiebreak_1,tiebreak_2,,,,,,,,
Fang,Async,0-25,AntiGunBan,"Gas prices skyrocketing. Energy costs up triple digits. Grocery stores running out of basic goods — just in time for the holidays. This is your gift  🎁 from the Democrats — so give it back to them and register Republican! ⤵️

You can dump the Dems in two mins, on your phone ➡️  https://vote.gop/?utm_source=106087. ",0,0,TRUE,,,,,,,,,,
Fang,Async,0-25,AntiGunBan,"ACT NOW: Iowa consumers shouldn’t have their fuel choices dictated by government mandates, but that’s exactly what will happen if HF 2128 passes.",0,0,TRUE,,,,,,,,,,
Fang,Async,0-25,AntiWoke,"Do you know what’s going on in your kid’s school? The three R’s – reading, writing, and arithmetic – have taken a back seat to a fourth R. Max Eden, Senior Fellow at the Manhattan Institute, explains what that fourth R is, and why it’s so destructive.",0,0,TRUE,,,,,,,,,,
Fang,Async,0-25,AntiWoke,"""Faces of those who want to tax your homes""
These are the faces of the people who want to tax grandma and grandpa out of their homes, all because the school employees demand a $22,540,000.00 million dollar pay raise!
These out-of-touch people do not care that families are struggling to pay bills, put food on the table and just survive this financial crisis. 

This entitled, selfish group of educational elitists firmly believes that they have the ""right to tax your homes every 4-5 years and you should just get used to it!"" 

The Taxpayers should just ""shut up"", and as the yes PAC supporters have said publically, which the school board refuses to denounce, telling our Senior  Citizens that they ""should just move out or DIE!""

These are the very people who have ""divided our community into have's and have not."" They have brought hate and intolerance into Bellbrook-Sugarcreek.

This ""cult of hate"" has used personal attacks as a political weapon for the personal destruction of their political opponents all in an effort to hold on to the power they wield over our school district.

These despicable people proudly declared open WAR on every VOTE NO supporters in our community.

On May 4th, VOTE NO, accept their challenge of battle and defeat them at the ballot box, and hand them their 4th levy defeat.

NO MEANS NO!",0,0,TRUE,,,,,,,,,,
Fang,Async,0-25,ProtectEnvironment,Did you know? Drilling an oil well in Illinois typically takes about 4-5 days and directly or indirectly supports 40-50 jobs across 6-10 companies. Completing a well directly or indirectly supports another 20 jobs. Find out more about each step of the drilling process in this IPRB educational video: https://www.youtube.com/watch?v=cHfA4P8MMYc.,0,0,TRUE,,,,,,,,,,
Fang,Async,0-25,ProtectEnvironment,"We have officially opened up applications for our #PowerPastFrackedGas 2021 Partner Grant! 

Now through Friday, July 16 at 11:59 pm PST we are accepting requests for funding from organizations supporting community-led projects that strategize against fracked gas infrastructure and, by extension, environmental racism in all forms. We hope to support the robust organizing landscapes that build our movements and look forward to reviewing your application.

For more information and to apply, visit: https://bit.ly/3gnEnIh. ",0,1,FALSE,0,,,,,,,,,
Fang,Async,0-25,CleanEnergyWorks,"Government-Controlled Power comes with a price tag of $13,500,000,000  – three times Maine’s annual budget. 

Get the facts: www.maineaffordableenergy.org. ",0,0,TRUE,,,,,,,,,,
Fang,Async,0-25,CleanEnergyWorks,"Advocates on all sides agree that HB 2730 both protects and improves private property rights AND ensures critical infrastructure such as roads, electric lines and pipelines can be built. Send an email to your State Rep. urging them to SUPPORT HB 2730: https://p2a.co/0EhkT0k.",0,0,TRUE,,,,,,,,,,
Fang,Async,0-25,ActionAgainstDemSpending,"Most folks probably don’t think of Illinois as major oil and natural gas industry state, but it is. The Illinois Petroleum Resources Board (IPRB) highlights the economic impact the industry makes in the state in a new video, with emphasis on the exploration and production sector of the industry.",0,0,TRUE,,,,,,,,,,
Fang,Async,0-25,ActionAgainstDemSpending,"While trial lawyers try to kill the oil and gas industry, it’s up to us to save our jobs.",0,0,TRUE,,,,,,,,,,
