theme	tweets
AntiGunBan	Chip in $25 today to support re:power’s candidate development programs! We are proud of the work our alumni, like Ohio State Rep. Stephanie Howse, are doing across the country.
AntiGunBan	A handful of politicians in Augusta are planning to forcibly seize Maine’s power grid through eminent domain. How do you feel about the plan?  Take our poll: https://bit.ly/31N2eg2. 
AntiWoke	"New York Republican Chairman Nick Langworthy will continue his statewide “Just Say No” tour in Columbia County to highlight the Party’s opposition to the November election ballot propositions. #JustSayNoNY 

Columbia County GOP. "
AntiWoke	"Bellbrook School Board President  David Carpenter has been using the Police and Prosecutors to target his political opponents.

Carpenter has sent multiple secret letters and ran secret, unauthorized criminal background checks on political opponents and potential school board candidates. (we have the emails and letters)

David Carpenter should resign for his aggressive and unethical actions.

No school board president should ever be allowed to weaponize his position and use the power of his office in such a manner.

Watch the Video and listen to Senator Cotton.

https://youtu.be/5ZM5GRzg1M0. "
ProtectEnvironment	Our mission? To protect Colorado communities from climate change. Your donation will help us do just that.
ProtectEnvironment	"Throughout the state of Pennsylvania, abandoned coal mines pollute our water supply.

Thanks to President Biden's Bipartisan Infrastructure Law, PA can expect to see millions to remove harmful substances from drinking water.
https://www.wnep.com/article/news/local/luzerne-county/coal-cleanup-costs-covered-by-infrastructure-bill-swoyersville-culm-banks-federal-money/523-223a6008-5f71-413d-ac53-2f01cf6019f5. "
CleanEnergyWorks	Providing reliable energy and creating innovative climate solutions isn't an either/or. Learn how we keep making progress.
CleanEnergyWorks	Do wind turbines and solar farms hold the keys to saving the environment? Michael Shellenberger, founder of Environmental Progress and noted climate activist, used to think so. Now he’s not so sure. He explains why in this important video.
ActionAgainstDemSpending	"The Democrats' outrageous government spending spree is causing rampant inflation that is directly impacting all Kansans.
 
What's the result? Gas prices in Kansas are up 49% from last year!"
ActionAgainstDemSpending	Can anyone name ANYTHING Kathy Hochul has done to bring down the cost of food or gasoline? She could SUSPEND the gas tax and pull the plug on the absurd proposal to raise the gas tax by 55 cents per gallon to the highest rate in the country! There are actually many options to lower New York’s energy costs, but Hochul and her friends are doing NOTHING. Tell her to take action at LowerNYGasPrices.com.
IndigenousAndBlackAdvocacy	"Mark Tapscott, an award-winning veteran investigative journalist who covers Congress for The Epoch Times, and the founding editor of HillFaith, and Dr Bobby Eberle, a conservative political analyst, writer, commentator, and owner of GOPUSA.com and a professional race car driver and former aerospace engineer, join Andrea and special guest host Carmen Montiel for an hour of lively conversation.

Mark Tapscott:
https://www.hillfaith.org
https://www.theepochtimes.com/author-mark-tapscott

Bobby Eberle:
http://gopusa.com/

Watch TLC Live! On Facebook (https://www.facebook.com/TLCforTexas) or on YouTube (https://www.youtube.com/channel/UCTi1LGIYZDNRyEL08eYm90Q), and Comment Live on Facebook Every Wednesday at 11 AM!"
