theme	tweets
AntiGunBan	"As Governor Northam and the Richmond Radicals scheme to pass the Gun Ban, we need patriots to fight in a minutes notice!

If you are dedicated to fighting to stop Governor Northam's Ban on Semi-Automatic Sporting firearms, join up today!

https://virginiaconservatives.net/virginia-minutemen

In 1775, the Minutemen were an organized force of Patriots which, at a moment’s notice, would mobilize to defend their communities and liberty.

Today, Virginia is engaged in a political war to defend that same liberty and needs every single patriotic man and woman to join the Virginia Minutemen .

Will you answer the call to carry on this great tradition of ordinary citizens, in the midst of a great crisis, standing up to fight?

 I am going to speak frankly; this will not be an easy fight.  But it wasn’t in 1775 either.  As the new wave of radical anti-gun politicians take up the power of government, they do so with a vengeance. And, unless you act, they will destroy the Constitution, your right to keep and bear arms, and usher in a wave of totalitarian legislation that will be very hard to repeal.

 This is why it is vitally important that you sign up to join the Virginia Minutemen program today.

 Being a Minuteman is not for everyone.  Some are not as dedicated to defending our great Virginian tradition of liberty and are not ready to commit to doing the work necessary.

I must tell you, it will be hard work.

Here at the Virginia Constitutional Conservatives, we are asking for volunteers to, in a moment’s notice, swing into action to defend their liberty, and the liberty of generations to come. In over a decade of grassroots political action, there are proven tactics and actions that will lead to victory; if you can mobilize enough patriots to act.

So that is what I am asking of you today.

Will you pledge to join the Virginia Minutemen?"
AntiGunBan	"Fellow Virginians,

My Grandfather always told me to speak ""the plain truth of things"".  Simple, straight forward and to the point.  Many of you received the results of our 2021 Restore Virginia Now Candidate Survey, click here to view.

In a few short hours we received hundreds of emails back with one simple question- What are the voting records of those seeking the Republican Nomination in the State Convention? 

You asked for it, so here it is.

Now keep in mind many candidates have never been in office before, so they have no legislative record, but for those that have been elected before, here at the Virginia Constitutional Conservatives we keep track of every vote lawmakers cast of key issues.

Because, to speak the 'plain truth', past performance is the best indicator of future performance, but even more so, the last thing anyone should ever do is reward poor political behavior. 

Scanning our database, here are key facts to keep in mind as the Virginia State Convention looms near-
 

-In the 2018 Special Session, then Speaker Kirk Cox, and now Gubernatorial Candidate Cox, led the effort to pass the Obamacare Expansion in Virginia, which in turn funded millions to Planned Parenthood to kill babies.  Don't believe us?  here is a link. 

https://www.whsv.com/content/news/Virginia-lawmakers-vote-to-expand-Medicaid-484085081.html

-In the 2019 Special Session, both Tim Hugo, running for Lt Governor, and Jason Miyares, running for Attorney General,  introduced Red Flag Gun Confiscation Legislation to violate nearly half of the Bill of Rights.  Not only does this unconstitutional scheme violate the 2nd Amendment, but also the 4th, 5th and 6th Amendments.  This effort set the stage for the radical left to pass this gun grab in the 2020 General Session.  Here are some links to read more-  

https://www.princewilliamtimes.com/news/hugo-now-backs-red-flag-gun-law/article_cad6a8ca-bf77-11e9-bea6-fb8304c57809.html

https://www.13newsnow.com/article/news/virginia-beach-delegate-proposes-red-flag-law-for-virginia/291-c7838c54-a9c3-4334-99e2-70dac47db27b

-And then Delegate Glenn Davis, running for Lt Governor, introduced legislation in the 2020 General Session to make it harder for law-abiding citizens to get a concealed carry permit.  His legislation, which then enabled the radical leftists that now control the house to do the same, eliminated online training and mandated in-person training,  The last time I checked the 2nd Amendment neither mentioned training or paying a tax to bear arms.  Here is a link to his legislation. 

https://lis.virginia.gov/cgi-bin/legp604.exe?201+sum+HB142

And even before that, Davis led the effort to create 'gun free' killing zones in Government Buildings.  Here is a link to that.

https://www.virginiamercury.com/blog-va/virginia-beach-republican-to-push-bill-allowing-municipalities-to-ban-guns-in-government-buildings/

And finally, while never elected, Gubernatorial Candidate Glenn Youngkin urged his employees to donate to the Southern Poverty Law Center, a viciously anti-conservative and anti-Christian organization.  You can read about that here.

https://thefederalist.com/2021/03/25/woke-capital-gop-candidate-ex-ceo-once-urged-employees-to-donate-to-the-splc/

You know, after typing this, it seems I am describing the Democratic ticket rather than those seeking the Republican Nomination.

Like I said before, many other candidates do not have public policy efforts on record, but you can read more about their stances on vital issues by clicking here and reviewing the results of our 2021 Restore Virginia Now State Candidate Survey.

https://virginiaconservatives.net/2021-rvn-candidate-survey

In over a dozen years of grassroots politics, one truth stands out- you must never ever reward the poor votes of a politician with your good vote, no matter who they are.

Or else you end up with the inability to tell Party R from Party D.

As we move into the 2021 Primary in the House of Delegates, we will also be shedding the hard light of truth on many candidates and their poor voting record.

For if we hope to Take Back Virginia, the last thing we need is fake conservatives on the ballot.  And you must remember the wise word of King Solomon in Proverbs 22:29-

""Do you see a man who excels in his work? He will stand before kings; He will not stand with unknown men.""

To read more on our efforts to take back the State House of Delegates, and what you can do to help us, click here to join us in working to Restore Virginia Now.

https://www.restorevirginianow.com/

In Liberty,

S. Chris Anders
Director
Virginia Constitutional Conservatives
https://virginiaconservatives.net/
https://www.facebook.com/virginiaconservatives/ 
 
PS- We have a hard fight ahead to take back Our Virginia. For the past 18 months we have been training and preparing for the 2021 State Election Cycle.  But we could use your help.  We have the trained activists and members in place to rip the Richmond Radicals from power, but we need ammunition. And in politics, your donations are that ammunition.  Will you click here to support our efforts to Restore Virginia?  For many of you donating $5,000 is easy and for others $50 is hard.  I get that.  But no matter the amount you are able to give, know that every dime will fund our effort to take back OUR Virginia.

https://donorbox.org/restore-virginia-now

Thank you and God Bless. "
AntiWoke	"PUBLIC NOTICE: ( This is a long post) Kevin Price, school board member criticizes the Yes Pac and Josh and Diana Pressnell for power grab. 

This page agrees that the Pressnells are out -of-control, working hand-in-hand with Kim McCarthy and Meredith Brinegar.

This alinement of radical progressive socialists is no accident. It is a well laid out campaign plan to get WOKE candidate’s into office in the Bellbrook City Council,Sugarcreek Township Trustee and to take over the Bellbrook school board. 

This elaborate plan has been months in the making and supported by Doug Cozad, School superintendent, and the Bellbrook Teachers Union.

**In his own words Kevin Price wrote the following.  It is worth a read. McCarthy, Pressnells, Brinegar are all tied in together. 

""The Citizens for Sugarcreek Schools PAC page, created to unite the community behind passing a much needed levy, continues to depart from its original purpose and even its newly stated purpose of providing school related information.  

Since the levy passed in May It has been used to promote controversial ideology and most recently to cast things in a more favorable light for 3 candidates. 

The page is run by candidate Josh Pressnell and edited by his wife Diana Pressnell. 

Today I made a comment to a post made by the PAC page editor (Diana Pressnell) about candidate information in which I provided a link to the League of Women Voters’ interview that took place in August.  

My comment was deleted on the PAC page by Diana Pressnell. Interestingly a comment praising Josh Pressnell (likely from a fake FB account) remains. Below is a screen capture of these contrasting posts before mine was deleted. 

Intentionally suppressing information about other candidates by that “neutral” page is unacceptable.

End of Kevin’s Post

************************

Election Watch 21 Editorial comments:
These are the Progressive leaders who have brought hate and Intolerance into our communities and divided our citizens into “haves and has nots.”

This group is a toxic poison of radical ideas which they intent to force their WOKE VALUES upon our families, through the power of the offices they seek.

Do not give them the power and control they desperately seek, not not vote for them.

They are not like you and me.

They are radicals.

They are a threat to all you cherish and hold dear.

God, Family, and Country."
AntiWoke	"Critical Race Theory isn’t always presented as “Critical Race Theory” our school boards along with teachers unions and teachers themselves have disguised “CRT” in concepts such as Action Civics, Anti-racism, Anti-blackness, Collective guilt, Unconscious bias, Critical self-awareness, Diversity, Equity, and Inclusion (DEI) Educational justice, Institutional oppression, Marginalized identities, Systems of power and oppression, White privilege, White supremacy, Whiteness, Woke behavior, pro-nouns. 

As a result, our children have become depressed, have extreme anxiety, and withdraw. We are witnessing an increase in teenage suicide by 32%, while school boards and our children’s teachers think they have the right to cut parents out of the social and emotional wellbeing of our children. Our schools are there to educate our children in Math, English, Reading, Science, History, and civics. 

What teachers have no place teaching our children is ‘CRT” as a parent if my child struggles with self-identity, depression, anxiety, or any other personal concerns that is between my child and myself, not my child’s teacher or school psychologist, nor should any parent owe an explanation to how we handle our personal family concerns with our schools. Teachers teach and Parents raise our children, more importantly, we name our children not ‘Woke’ teachers and their dangerous pro-nouns. 

I will spend the next twelve months traveling district 2 of Massachusetts visiting every school board determining how are federal dollars are being used to harm our children."
ProtectEnvironment	"Congress is asking: How big should we go on infrastructure? We're responding: As big as the crises we face — to address systemic racism, climate catastrophe, and economic injustice. 

Take action now! → sc.org/THRIVE. "
ProtectEnvironment	"𝐓𝐞𝐥𝐥 𝐏𝐫𝐞𝐬𝐢𝐝𝐞𝐧𝐭 𝐁𝐢𝐝𝐞𝐧: 𝐓𝐚𝐤𝐞 𝐮𝐫𝐠𝐞𝐧𝐭 𝐚𝐜𝐭𝐢𝐨𝐧 𝐨𝐧 𝐜𝐥𝐢𝐦𝐚𝐭𝐞 𝐜𝐡𝐚𝐧𝐠𝐞 𝐚𝐧𝐝 𝐜𝐥𝐞𝐚𝐧 𝐞𝐧𝐞𝐫𝐠𝐲

The first year of a new presidential administration can be the most consequential. We must prioritize meaningful action to protect the planet. 

Add your name before the deadline ❗❗. "
CleanEnergyWorks	The most indispensable and fundamental element of our modern society is the reliability and affordability of electricity. With both Texas and California rapidly moving to more wind and solar power to provide generation to power plants, what backup power source will provide the electricity reliability to keep the lights on, the air conditioning humming, and heat flowing? https://bit.ly/3bqq7vJ. 
CleanEnergyWorks	Today is Global Wind Day! According to the American Clean Power Association, the US wind power industry employs over 120,000 Americans, has contributed more than $145 billion in economic investment all over the nation over the last 10 years, and has provided $1.8 billion in local, state, and federal tax payments in the last year. Read more about wind power in the US: https://bit.ly/3bQAVn7. 
ActionAgainstDemSpending	Raising taxes on the U.S. natural gas and oil industry could put our economic recovery at risk! Call Rep. Susie Lee at 702-963-9336 and tell them: new taxes on U.S. energy is a BAD idea!
ActionAgainstDemSpending	Shutting down local oil & gas production would force California to import even more foreign oil, further increasing the price of gas and household utility costs. Stop the energy shutdown. Stop higher gas prices.
