theme	tweets
AntiGunBan	"Virginia Patriots,

Over the past 8 months we have mailed, hand delivered and emailed every State Candidate on the ballot our 2021 Restore Virginia Now Candidate Survey.  Every single candidate was asked hard questions such as-

Will you support legislation to repeal Red Flag Gun Confiscation
Will you support empowering parents through School Choice
Will you restore the 2nd Amendment by supporting Constitutional Carry
Will you support ending all unconstitutional mandates such as mask orders, forced vaccination and shutting down our schools, churches and businesses

And now the final results are in.

In the race for Governor, Lt. Governor and Attorney General, only Winsome Sears (R- Lt. Governor) completed our survey, taking a stand on hard issues and dedicating herself to fighting for liberty and your God-given, constitutionally protected rights.

All other Statewide candidates refused to go on record.

That is the bad news.

The good news is that many candidates for the State House of Delegates pledged to fight against the gun grabbing socialists and fight to Restore Virginia!

You can see the results of the 2021 Restore Virginia Now Candidate Survey by clicking here.  Here you will find the candidates with the guts to go on record and dedicate themselves to fighting for Virginia.

https://virginiaconservatives.net/2021-rvn-candidate-survey

We asked specific policy questions, and when you view the results, you will see who-

-Answered Y+ meaning they will lead the fight on this specific issue
-Answered Y meaning they pledge to vote in support of the specific issue
-Answered N saying they will vote against freedom and liberty
-And finally, R- meaning they refused to answer and are hiding their positions from the voters

Those who have the courage and intestinal fortitude to go on record on hard issues, taking a stand for liberty and the Constitution, are the only candidates you can trust. If elected, they will fight with integrity and courage to restore Virginia and roll back years of radical rule.

Politics and politicians as usual will not preserve liberty.

We live in unchartered times where tyranny is lying around every corner, where corruption is rampant and the very fabric of the Republic is being attacked.

The Radicals in the Biden Adminstration and their cronies in Richmond will never back down.  Why is it that so many who claim to be conservative won't fight back?

This is the time for champions, not politicians.  Champions who will take a hard stand, go on record on very hard issues, and fight to restore the Constitution.

Not just tinker around the edges....just re-arranging the chairs on the deck of the Titanic is what many seem committed to doing.

And we will not let them get away with that.  Will you?

If not, whenever a candidate asks for your support, your donation, your volunteer time or your vote, ask them if they have completed our survey.   And if they want your support, they had better publicly support the issues you care about.

Again, we asked specific policy questions, and when you view the results, you will see who-

-Answered Y+ meaning they will lead the fight on this specific issue
-Answered Y meaning they pledge to vote in support of the specific issue
-Answered N saying they will vote against freedom and liberty
-And finally, R- meaning they refused to answer and are hiding their positions from the voters

So please click here to view the results of the 2021 Restore Virginia Now State Candidate Survey.

https://virginiaconservatives.net/2021-rvn-candidate-survey

If they will not stand with you before they are elected, you know they will not after they are in office.

My Grandfather always said it is not the Devil with horns he feared, for he knew to avoid them. But rather it was the Devil hiding in a suit preaching scripture that terrified him. Many candidates will claim privately they support the 2nd Amendment, School Choice, Freedom, Liberty and the Constitution.

But private promises mean nothing.

Because politicians lie.

Over the next two months we will be working hard to educate the voters in key districts on the stances of their candidates.  Who pledged to do what, and who ducked the question.

Our volunteer teams will be working tirelessly to be sure that every voter in the Commonwealth has access to and has seen our survey.  For only an informed and educated people can make the right decision at the voting booth.

If you support our efforts to get champions for liberty elected in 2021, please click here to donate to our efforts.  In politics, donations are ammunition.  Without ammunition an army cannot fight.  We have the high moral ground, we have the motivated patriots, right is on our side, but without ammunition to wage war, we may lose.

 For some of you donating an additional $5 might be a great sacrifice, and for others $500 is easy.  No matter the amount, if you click here to donate to our efforts, know that every dime will be used to rip the Richmond Radicals from power and Restore Virginia.

https://donorbox.org/restore-virginia-now

I would like to take a moment to thank all of our volunteers and donors who have brought us this far. 

Will you help us finish the hand?

In Liberty,

S. Chris Anders
Director
Virginia Constitutional Conservatives. "
AntiGunBan	"'click' is the scariest sound you will ever hear and running out of ammunition means you lose in both politics and gun fights.

The Anti-Gun Nuts must be stopped in November.

The Radical Far-Left Gun Grabbers make no bones about it...they want your guns.

And unless you act, the 2nd Amendment will be gutted in Virginia.

The Virginia Gun Rights Task Force is working hard to rip the Richmond Radicals from power, will you arm us for the fight?

We have many candidates lined up for the 2021 State Election, and with your ammunition we will win.

Will you donate $100, $50 or even $25 to help our election efforts?

If so please click here to stop the march of the gun grabbers.

https://donorbox.org/virginia-gun-rights. "
EnvironmentalConservation	Ambitious climate action shouldn’t be met with crickets. Climate change is a crisis that affects everyone, and our leaders know their climate initiatives must be unprecedented to meet this challenge. #ClimateFriday. 
EnvironmentalConservation	"𝟏𝟏:𝟓𝟗 𝐏.𝐌. 𝐃𝐄𝐀𝐃𝐋𝐈𝐍𝐄 | 𝐓𝐇𝐄𝐑𝐄’𝐒 𝐍𝐎 𝐓𝐈𝐌𝐄 𝐓𝐎 𝐖𝐀𝐒𝐓𝐄

Right now, we have a historic opportunity to fight the climate crisis, and create millions of good-paying jobs while lowering costs for middle-class families. Climate champions like Bernie Sanders, Alexandria Ocasio-Cortez and President Biden, are fighting to build a sustainable economy and cut costs for families, but Congress is dragging its feet.

There’s no time to waste: We need 10,000 people to add their support by MIDNIGHT tonight and demand Congress take action NOW. Time is running out and you still haven’t signed – please add your name now to join Bernie, AOC and Pres. Biden to demand Congress take bold climate action now!"
SchoolBoardFinances/GasInfrastructure	"Today, the average price for a gallon of gas in Kansas is $3.10.

A year ago, the average price for a gallon of gas in Kansas was $1.88.

Thanks to President Biden's failing energy & economic policies, Kansans are paying the highest prices at the pump since the Obama Administration."
SchoolBoardFinances/GasInfrastructure	"“Kevin Price’s personal quasi board of education Facebook attack page”

This is a long post, but well worth the time to read the TRUTH, FACTS, and EVIDENCE Kevin Price seems unwilling or unable to understand.

Hold on tight, Kevin Price as I know your reading this, you’ll need to buckle up, it’s going to be a bumpy ride for your understanding of the truth.

A school board member that can’t even do basic math. I’m not going to waste your time with finger-pointing or name-calling. 

You can get that from the YES PAC and Kevin Price’s personal quasi-board of education attack Facebook page.

I am going to tell you things, the VOTE YES Pac, will not dispute. FACTS and TRUTH of the VOTE NO Movement has uncovered.

They will resort to misrepresentation of our posts and misinformation in order to manipulate the FACTS. 

The school board and the PAC will avoid the FACTS in order to further their attack against the TRUTH, and anyone not supportive of their misrepresentation.

With that being said, I found the financial problem within our school district. And the MATH DOES NOT LIE!

We have a school board member in charge of a $31,000,000.00 million budget that can’t even do basic math! 

Kevin Price has such a hate for those with an opposing viewpoint, that on one post from April 23rd, he would go to great lengths on his personal quasi board of education Facebook attack page, to mislead and to intentionally misquote, our VOTE NO movement.

Not just on 1 topic, but on 4 separate topics.

So we are going to explain this so even our insufferable know-it-all Kevin Price can understand it!

We are here to set the record straight! 

From this ill-mannered, thin-skinned, public official that is an embarrassment to the entire school district that manipulates our posts to further his false narrative approved by this school board.

This levy probably would have less resistance had it not been for Kevin Price and his hate for those of us that want nothing but our voices heard and the TRUTH about our tax dollars being spent!

1) With his first attempt to push his false narrative, in Kevin Price’s April 23rd post he tries to deflect from the fact the school the district is drowning in promises by the Board of Education to school employees on increased salaries, increased pensions, increased pickups, increased health insurance and increased other benefits that they can’t deliver upon unless the taxpayers decide to relinquish their hard-earned funds to bail out their mismanagement.

He doesn’t even realize how to read a dollar figure with the cents included. Could that be because he lacks sense himself?

Poor silly Kevin Price added 6 zeros to our math to push his false narrative and deflects from his poor mismanagement of our tax dollars.

Let me explain it so even our educational elitist Kevin Price can understand the facts.

In his post, Price would have the taxpayers believe our mailer that was mailed on April 23rd incorrectly stated the enormous about of mismanagement conducted by the school district.

We wrote out the total dollar amount this massive 4.9 mill levy would cost the school district taxpayers over 7 years. That figure is $3,220,000.00 million a year X 7 years = $22,540,000.00 million dollars.

BTW, that equates to $8,821.92 every DAY the BSLSD taxpayers will have to pay for these 7 years. 

That’s right, $8,821.92 a DAY! Or $367.58 an hour every hour of the next 7 years!

We stated, and stand by our quote in the flyer that this levy will generate $22,540,000.00 million, (note the word million is even put after the dollar amount so Mr. know-it-all Kevin Price, could even understand). 

He tries to convince the readers that our quote is wrong as he somehow added 6 more zeros as he states that our flyer says this massive 4.9 mill levy would cost the school district taxpayers over 7 years $22,540,000,000.000.00 Trillion. 

Poor Kevin Price added 6 zeros to manipulate our numbers to push his false narrative.

Even though when it comes to our property taxes, we believe $22.54 Million dollars feels like Kevin Price’s manipulated $22.54 Trillion dollars, we do not push a false narrative on this page. 

We only deal in TRUTH, FACTS, and EVIDENCE. Not the propaganda narrative that comes from the YES PAC.

If a board of education member cannot understand the difference 6 zeros would make on a financial report, the obvious conclusion is drawn. 

The reason we’re in a financial crisis is that those entrusted with our tax dollars don’t care about the consequences of their actions in mathematical errors would generate.

2) With his second attempt to push his false narrative, in Kevin Price’s April 23rd post he tries to deflect from the fact the school district is drowning in promises by the Board of Education to school employees on increased salaries, increased pensions, increased pickups, increased health insurance and increased other benefits that they can’t deliver upon unless the taxpayers decide to relinquish their hard-earned funds to bail out their mismanagement.

He doesn’t even realize how to read a 5-year forecast. Our readers on this page know how to read a 5-year forecast as we all went through it pretty extensively earlier in the year.

Angry Kevin Price added 1 year to our math to push his false narrative and deflects from his poor mismanagement of our tax dollars.

Let me explain it so even an English major, like Kevin Price, can understand our Math.

In his post, he would have the reader believe our post incorrectly stated the enormous about of mismanagement conducted by the school district.

A 5-year forecast has ACTUAL budgets and FORECASTED budgets. 

We used the ACTUAL budget ENDING in Fiscal Year 2015 from June 30, 2015, and the FORECASTED budget BEGINNING in Fiscal Year 2021 from November 16, 2020 (6 years). 

Or if you want to look at it another way, the actual ending of FY 2015 and the forecasted beginning of FY 2021, is still 6 years. 

(note on a 5-year forecast the submitted date the school district turns the forecast over to the state is clearly marked on the 2021 FY forecast as of 11/16/2020, so even Kevin Price could even understand).

FIRST, we took the total dollar amount Cozad stated the school district has implemented in annual cuts in the budget of $4,981,000 and added it to the difference between the 2021 FORECASTED budget and 2015 ACTUAL budget.

Which looks like this: $29,307,000 (2021 FORECASTED budget) minus (-) $24,419,259 (2015 ACTUAL budget) equals (=) $4,887,741.

$4,887,741 is the increase in Total Annual Revenue (property taxes), from the ACTUAL budget ending of FY 2015 to the forecasted budget beginning of FY 2021.

SECOND, we added what Cozad stated the school district has implemented in annual cuts in the budget to the increase in Total Annual Revenue from the ACTUAL budget in 2015 to the forecasted beginning of FY 2021.

$4,981,000 (cuts in the budget) plus (+) $4,887,741 (Total Increase in Annual Revenue) equals (=) $9,868,741. That’s right! In 6-years the expenses have ballooned almost $10 MILLION DOLLARS!

We added the cuts back in to show what the actual budget is before the cuts are implemented.

Kevin Price tries to convince the Voters that our math is over 7 years and not 6. He further tries to convince the reader that our math of the increased budget from 2015-2020 is not $10 MILLION DOLLARS!

The VOTE YES will say it doesn’t add up to $10 million. They will explain this away by calling it an accumulative reduction. When in reality it is $4,981,000 in budget cuts that are no longer coming out of a budget that operates on an ANNUAL BASIS.

Look at like this, if the following $4,981,000 in reductions were not made, they would still be coming out of this year’s budget:

$500,000 (Summer 2018 budget reduction) + $813,000 (June 2019 Phase 1 budget reduction) + $168,000 (Summer 2019 budget reduction) + $1,000,000 (November 2019 Phase 2 budget reduction) +  $2,5000,000 (2020 budget reduction Phase 3 & 4) = $4,981,000.

 Kevin Price may be able to fly a plane, but he clearly doesn’t understand basic math and manipulates our numbers to deflect from his poor mismanagement of our tax dollars to push his false narrative.

We stated, and stand by our quote in the post, $4,981,000 (cuts in the budget) plus (+) $4,887,741 (Total Increase in Annual Revenue) equals (=) $9,868,741. That’s right! In 6-years the expenses have ballooned almost $10 MILLION DOLLARS!

$9,868,741 = $1,644,790.16 x 6 = $9,868,741 (That equates to an average annual budget increase of $1,644,790.16 every year for 6 years from 2015 to 2021).

We want to point out, that while we produce the FACTS, these facts and figures come from the school district and are not made up or come from the VOTE NO MOVEMENT. 

We do not push a false narrative on this page. We only deal in FACTS and TRUTH. Not the propaganda that comes from the YES PAC.

If a board of education member cannot understand the difference a reduction in the budget would make on a financial report, the obvious conclusion is drawn. 

Again I repeat: The reason we’re in a financial crisis is that those entrusted with our tax dollars don’t care about the consequences their actions in mathematical errors would generate.

3) With his third attempt to push his false narrative, in Kevin Price’s April 23rd post he tries to deflect from the fact the school the district is drowning in promises to employees on salaries, pensions, and health insurance, and other benefits they can’t deliver upon unless the taxpayers decide to relinquish their hard-earned funds to bail out their mismanagement.

He doesn’t even realize how to read a performance audit.

He deflects from the fact the performance audit pointed how the school district is mismanaged.

Speaking of deflections, one such deflection he didn’t address about the audit, was this performance audit identified internal control deficiencies specific to payroll processing. Price didn’t mention it because it didn’t fit in his false narrative.

Additionally, while on the subject of deflection, he has also never replied to our request to produce an itemized list of expenses listed as estimated encumbrance’s included on line item #08.010 totaling $2,210,923 in the 5-year forecast for 2021. 

Except to stand behind the shield of the school’s attorney, Tabitha ""Jackass"" Justice by allowing her to reply to our request basically saying that’s it all made up and there is no expenditure of $2.2 million. 

It's accounting, smoke, and mirrors, Majic by school treasurer Kevin Liming!

This is the school attorney's response to our public records request by stating there is no public record listing what these estimated encumbrances are.

ITS, $2,210,923.00 million dollars and NO ONE KNOWS WHAT THE NUMBER INVOLVES!  NO ONE!

Kevin Price tries to convince the reader that our critique of the 2020 BSLSD performance audit is misleading by saying we omitted the word recommendation.

Silly Kevin Price is so quick to jump at pushing his false narrative he doesn’t even read our post. 

He only sees want he wants to see. Blinded by his hate and Intolerance of those of us that debate his viewpoint with FACTS and dispel his false narrative. 

As he deflects from his poor mismanagement of our tax dollars.

Let me explain it so even a non-accountant like Kevin Price could even understand.

In our post of March 29th, we set out to review the Bellbrook-Sugarcreek LSD Ohio Auditor of State Performance Audit dated January 21, 2020.

In doing so we quickly picked up on how mismanaged Bellbrook-Sugarcreek Local School District really is.

The format of our post of the table used in the performance audit clearly has the heading: Table A-1: Audit Scope, Objectives, and Recommendations.

Below that, our readers will see that our format clearly shows what each: Audit Scope is; what each Objective is; and what each Recommendation is. 

To each question that has the word no in our format, it is below the heading of “Recommendation”. Meaning “NO” Recommendation.

For example, the first item under the heading Audit Scope in our post is Financial Management. Right below that is the first item under the heading objective:  Are the District’s budgeting and forecasting practices comparable with leading practices? Right below that is the first item under the heading Recommendation: Verbal, R.1

The reader will have to refer to the heading at the top of the table in our format to read the Audit Scope, Objectives, and Recommendations.

That is unless you are Kevin Price who doesn’t understand how to read his own school district’s performance audit and manipulates our posts to deflect from his poor mismanagement of our tax dollars to push his false narrative.

If a board of education member cannot read a performance audit from a board of education that he is a member of, the obvious conclusion is drawn.

4) With his fourth attempt to push his false narrative, in Kevin Price’s April 23rd post he tries to deflect from the fact the school district is drowning in promises to employees on salaries, pensions, and health insurance, and other benefits they can’t deliver upon unless the taxpayers decide to relinquish their hard-earned funds to bail out their mismanagement.

He doesn’t even realize how to read a mailer.

Kevin Price tries to mislead readers into believing we are directly quoting the 2020 BSLSD performance audit by saying we constructed a quote that’s not in the audit. He specifically states…“dysfunctional management or lack of management. No such statement was ever made in either Performance Audit.”…

We are not quoting a quote in the audit! That quote is not in the audit!

**We are quoting an original quote of ours in our critique of the 2020 BSLSD performance audit.

We stand by that quote. 

In our review of the Bellbrook-Sugarcreek LSD Ohio Auditor of State Performance Audit dated January 21, 2020, we described it as follows: “It’s actually a scathing report of the dysfunctional management or lack of management.”

Kevin Price is so quick to jump at pushing his false narrative he doesn’t even read our post. He only sees want he wants to see. 

Blinded by his hate of those of us that debate his viewpoint with FACTS and dispel His false narrative. As he deflects from his poor mismanagement of our tax dollars.

In November 2021, it is time to end Kevin Prices' campaign of hate and Intolerance of those he disagrees with.

Kevin Price is a bully and a bad example for our children.

VOTING NO on May 4th is the first step to ending Kevin Prices' power trip on this school board."
AntiGridDeregulation/PoliticalActionAds	"Are you respected by politicians?

Unless you are politically feared, you will not be politically respected.

Learn WHY this works…. Learn HOW YOU can be feared AND respected by politicians in the fight for liberty.

This is practical, no-nonsense training built around cutting-edge political strategies and tactics.

If you are tired of crony-capitalism, corporate handouts and politicians only looking out for their next re-election, this class might be for you.

If you are ready to DO something to take back power from the politicians and elites for “We The People,” you NEED to attend this class on Saturday, May 8th, 2021 in Leesburg, VA.

This intense one-day training covers:

The Real Nature of Politics - why just ""educating"" people alone won't result in change;

The Biggest Lie in Politics - and how the political class uses your convictions against you;

How to work effectively at the Capitol - getting a bill sponsor and a roll call vote despite the leadership; and

How to put pressure on legislators.

All of our instructors have years of experience putting these principles to work in multiple states.

Many have worked on federal, state and local campaigns, including major presidential campaigns, and successful campaigns for U.S. Senate and Congress. They know what works, and also what has been proven not to work in getting politicians to vote right.

This class will teach you how to turn your passion into effective action to advance liberty.

If you’re ready to learn how to be effective AND feared by politicians, click here to register for this class on Saturday, May 8th, 2021 in Leesburg, VA. We’ll even thrown in lunch. "
AntiGridDeregulation/PoliticalActionAds	"How YOU can become effective in politics and make the politicians do what YOU want

STARTS ON Saturday, April 10th, 2021 - 9:00 AM

Are you respected by politicians?

Unless you are politically feared, you will not be politically respected.

Learn WHY this works…. Learn HOW YOU can be feared AND respected by politicians in the fight for liberty.

This is practical, no-nonsense training built around cutting-edge political strategies and tactics.

If you are tired of crony-capitalism, corporate handouts and politicians only looking out for their next re-election, this class might be for you.

If you are ready to DO something to take back power from the politicians and elites for “We The People,” you NEED to attend this class on Saturday, April 10th, 2021 in Wiliamsburg, VA.

This intense one-day training covers:

The Real Nature of Politics - why just ""educating"" people alone won't result in change;

The Biggest Lie in Politics - and how the political class uses your convictions against you;

How to work effectively at the Capitol - getting a bill sponsor and a roll call vote despite the leadership; and

How to put pressure on legislators.

All of our instructors have years of experience putting these principles to work in multiple states.

Many have worked on federal, state and local campaigns, including major presidential campaigns, and successful campaigns for U.S. Senate and Congress. They know what works, and also what has been proven not to work in getting politicians to vote right.

This class will teach you how to turn your passion into effective action to advance liberty.

If you’re ready to learn how to be effective AND feared by politicians, click here to register for this class on Saturday, April 10th, 2021 in Wiliamsburg, VA. We’ll even thrown in lunch."
CleanEnergyGoals	"Renewables have a reputation for being expensive, but new wind and solar installations are actually often cheaper than running existing coal plants. The costs for renewable energy generation are expected to continue falling, so much so that a grid 90 percent supported by renewables  by 2050 would be cheaper than the status quo.

“Those lower system costs do not count public health, environmental, or climate benefits from increased use of renewables, say the study’s eight co-authors.” Read more:. "
CleanEnergyGoals	Edgefield County will be a leader in clean energy and energy independence with Caddis Solar, a proposed solar farm that would supply enough power to serve more than 10,000 homes!
