theme,tweets
GoBold,Protect Antarctica and secure the largest act of ocean protection in history! #CallOnCCAMLR. 
GoBold,"Policies that keep energy affordable, reliable, and fair help power our economy. Learn more and sign up to be part of our movement for affordable, fair, and reliable energy in Michigan."
DemandClimateActionFromLeaders,Call 202-224-3121 and tell your senators to support S1. You hold the power to support voting rights today!
DemandClimateActionFromLeaders,"𝐴 𝑑𝑒𝑎𝑑 𝑤ℎ𝑎𝑙𝑒 𝑤𝑎𝑠ℎ𝑒𝑠 𝑢𝑝 𝑜𝑛 𝑠ℎ𝑜𝑟𝑒 𝑤𝑖𝑡ℎ 𝑖𝑡𝑠 𝑠𝑡𝑜𝑚𝑎𝑐ℎ 𝑓𝑢𝑙𝑙 𝑜𝑓 𝑝𝑙𝑎𝑠𝑡𝑖𝑐.

Unfortunately, this scenario happens to a SHOCKING number of marine animals each day. That’s because Big Oil & Gas is responsible for over 99% of plastics AND remains the dominant cause of climate change, leading to pollution, loss of marine habitats and the collapse of food systems. 

We’re calling for immediate action, but we still need 2,160 more people to stand with us. Will you sign our petition before midnight to protect whales from plastics produced by Big Oil & Gas?"
PublicLandExploitation,"As many as 10 deaths may have been caused by the heat in the midst of the extended power outage, the coroner said, after the city’s new power plant did not achieve the “black start” that Entergy had promised — a quick delivery of power in the middle of a blackout."
PublicLandExploitation,Going swimming or taking a shower shouldn’t make you sick. Georgia Power is willing to take that risk. Tell the state to make Georgia Power clean up its coal ash. #GACleanYourAsh. 
BellbrookWokeRadicals,"Toxic, problematic, unstable, and oppressive. Sounds like a nasty relationship. Swipe left and say NOPE to Big Oil!"
BellbrookWokeRadicals,"""Sport has the power . . . to unite people in a way that little else does. .  . It is more powerful than governments in breaking down racial barriers. It laughs in the face of all types of discrimination."". "
ClimateEmergency,"Our champions in Congress aren’t afraid to Go Bold. They recognize the challenges we face, address them head on, and work tirelessly to combat climate change, create American jobs, and support a truly electric infrastructure.
 
Thank you, Senator Stabenow, for your ongoing support and your work to bolster electric heavy and medium duty vehicles. Now, it's time to finish the job!"
ClimateEmergency,A recent UN report affirms the need for climate action now. This crisis is urgent—but it’s not hopeless. There’s still SO much we can do to create a safer future for birds. Start your monthly gift today and your first three gifts will be matched.
GreenEnergyCreatesJobs,"Let's talk about the sacred wind!

Tate Topa: Tate means wind, Topa is the number 4; the Four Winds are female spirits and the Four Winds represent the cardinal directions being east, south, west and north. The north winds are cleansing, causing the leaves to fall, the western winds bring the rain, southern winds bring warmth and eastern winds brings the life of a new day. 

#IndigenousVoices #RenewableEnergy #StandingRock #SAGESRST #CommunityDevelopment #AnpetuWi #SRST #FourWinds #IndigenousPeople. "
GreenEnergyCreatesJobs,"Engine manufacturer, Cummins, is continuing their focus on sustainable technology with the development of their H2 fuel cell innovation center. 

This center will focus on technology for zero-emission buses & large trucks and is an exciting development in the journey to reduce transportation sector emissions. 

Learn more: https://www.hydrogenfuelnews.com/h2-fuel-cummins/8550471/. "
