theme,tweets
AdvocateForGreenEnergy,"It’s @GlobalWindDay, the perfect time to explore the potential of wind power to create a cleaner, more robust economy for New Mexico!

Learn about the basics of wind energy with a family-friendly activity: building your own turbine! This craft may not be as large as the real thing, but it’s a great way to spark conversations and curiosity about renewable energy.

Download your project at the link in our bio. Happy crafting!

#PatternNewMexico #NMTrue #NewMexicoTrue #GlobalWindDay #Sustainability #WindEnergy. "
AdvocateForGreenEnergy,"Celebrating the opening of our new #renewablenaturalgas (RNG) fueling station in #Menifee. In CA, as #RNG usage continues to increase, it is important to provide drivers & fleet operators more locations to fuel up. RNG is an affordable way to eliminate air pollution and emissions linked to climate change - link in bio."
GreenPowerExpensive,"Did you know, 30% of all power outages are caused by trees? That’s why we’ve doubled our investment on trimming trees near our power lines, making sure team members like Tonya can clear more of the lines that keep power flowing to your home."
GreenPowerExpensive,"Inflation is skyrocketing. Gas is soaring. Grocery Stores are struggling with supply. Joe Biden & Maggie Hassan are pushing an agenda that will make your Thanksgiving Dinner more expensive than ever before - are you outraged? 

Help us stop the Democrats' War on Thanksgiving - sign our petition today:

https://secure.winred.com/new-hampshire-gop/war-on-thanksgiving. "
ClimateActionDonation,"Abortion bans hold us back and harm our futures. Only you should hold the power to decide if and how to grow your family. Join us in the fight for a healthy, safe, and free future. Add your name."
ClimateActionDonation,"Birds need your help. Join Audubon as we fight to stop massive giveaway of public lands in Alaska that are home to three national parks and five wildlife refuges. We need to preserve traditional land uses and conserve wildlife habitat, not destroy it."
GreenEnergyWorks,"The number of new hydraulic fracturing wells across the U.S. and Canada in March reached 1,064, a 12-month high, setting the stage for oil production to rise in the second quarter. 

https://www.houstonchronicle.com/business/article/Report-Fracking-nears-full-recovery-without-16090463.php. "
GreenEnergyWorks,"The Louisiana Land and Exploration Company LLC (LL&E), a subsidiary of ConocoPhillips, is dedicated to enhancing Louisiana wetlands and communities by supporting wetlands-focused research that drives innovative wetlands resiliency."
AdvocateForGreenEnergyPoliticalAction,"Find out why climate scientists agree that climate change causes more extreme droughts, bigger fires, and deadlier heat."
AdvocateForGreenEnergyPoliticalAction,"I am praying for Kansas families and businesses as they work to recover from the severe weather that ripped through our state this week.

Please don't hesitate to call my office at (785) 205-5253 if you need any assistance or information on the resources available to you."
