text	name
"Myth: Exelon is threatening plant retirements as a way to pressure lawmakers into boosting the company's profits.

FACT: Exelon has delayed this announcement as long as possible, but the plants simply cannot continue to operate under current market policies that put no value on the clean energy they provide and instead favors fossil fuel energy resources."	Unknown
Did you know? A foundation made possible by royalty income generated by a major Fayette County oil discovery has provided more than $3 million in interest-free student loans for college-bound county residents since 2002. This is just one of many examples of how Illinois oil production has benefited local communities. Find out more in the following IPRB blog post.	Unknown
Colorado leads the nation in environmentally responsible energy development. Our first-in-the-nation energy regulations have slashed CO2 and methane emissions — all while ensuring communities have the energy they need to grow and succeed: https://www.cred.org/explore/is-fracking-regulated/. 	NuclearRevenueSupportsJobs
Charlie Kirk Is So Right... Conservatives Are Pro-Science, While Leftists Are Pro-Panic! Climate Change Is A HOAX! #ThinkForYourself. 	AbandonedWells
"President Biden's Build Back Better plan is our once-in-a-generation opportunity to fight climate change and secure middle class tax cuts, create clean energy jobs, and lower costs for working families.

Call Rep. Gottheimer and tell him we must seize this moment: (202) 225-4465. "	GreenEnergyCreatesJobs
Let President Biden know that New Jersey supports his vision to fight climate change and invest in clean energy!	Unknown
"It’s not always easy to do the right thing, but State Representative Isabella Fitzgerald stood up to the fossil fuel industry and voted to support clean energy and clean air in Pennsylvania. Help thank Rep. Isabella Fitzgerald by adding your name here.

The Regional Greenhouse Gas Initiative (RGGI) is Pennsylvania’s best shot to cut power plant pollution and grow a clean energy future.

Rep. Isabella Fitzgerald put Pennsylvania first. She stood up to the dirty fossil fuel industry and voted to support Pennsylvania's entry into RGGI. Rep. Isabella Fitzgerald chose to defend our state’s future and invest in Pennsylvania families. Add your name here to say thank you to Rep. Isabella Fitzgerald, and urge them to hold the line!"	Unknown
𝐒𝐨𝐫𝐫𝐲 𝐭𝐨 𝐢𝐧𝐭𝐞𝐫𝐫𝐮𝐩𝐭 𝐲𝐨𝐮𝐫 𝐬𝐜𝐫𝐨𝐥𝐥𝐢𝐧𝐠, but Earth Day is quickly approaching. With experts saying we only have nine years to stop irreversible damage from climate change, we must mobilize to urge action from the Biden administration NOW. We’re fighting to protect our planet and communities — but we can’t do it without supporters like you. Please, rush a donation before midnight and have your gift TRIPLE-MATCHED up to our $15,000 Earth Day goal!	ClimateChangeDonations
Access to reliable, affordable, natural gas and oil makes modern life possible.	OilAndGasProvidesWages
“The normalization opt-out is critical to accelerating our clean energy transition. One simple tax fix could create tens of thousands of clean energy jobs, lower emissions and drive lower costs for customers,” said Katie Wright, spokesperson for Clean Energy Means Jobs.	RenewableEnergyEconomicBenefits
Energy produced in Colorado directly benefits millions of Coloradans each day. In fact, seven out of every ten homes across the state rely on natural gas, according to the US Energy Information Administration. Learn more: https://www.cred.org/natural-gas-oil-uses/. 	NuclearRevenueSupportsJobs
