bucket,Alvin,Maria,DJ,Prediction,Tweet,Theme,Anno1,Anno2,Anno3,Appropriate_Theme,Comments,match
top 25,0,0,,1,"A warning to those if you still resisting the vaccine. It takes 5 full weeks to be vaccinated. Go TOMORROW. 
https://t.co/aHMPo8slnz",AlternativeTreatmentsBad,,,1,VaxAppointmentInfo,,FALSE
top 25,0,0,,1,If you get Covid don’t goto to a hospital you will die especially if you are anti vaccine!,AlternativeTreatmentsBad,,,1,Other,VaxFairness,FALSE
top 25,0,0,,1,Imagine getting the vaccine and still catching COVID. Fuckin eat some dirt pussy!!!,AlternativeTreatmentsBad,,,0,VaxDoesntWork,,FALSE
25-50,0,0,,1,COVID Vaccine No. 1 is done!,AlternativeTreatmentsBad,,,1,IGotTheVax,,FALSE
25-50,0,0,,1,"A warning to those if you still resisting the vaccine. It takes 5 full weeks to be vaccinated. Go TOMORROW. 
https://t.co/aHMPo8slnz",AlternativeTreatmentsBad,,,1,VaxAppointmentInfo,,FALSE
25-50,0,0,,1,"Ivermectin successfully treats COVID. There’s no legal basis for Vaccine mandates under Jacobson v. Massachusetts. 

COVID https://t.co/gkx9ieYjnW",AlternativeTreatmentsBad,,,0,AlternativeTreatmentsGood,,FALSE
50-75,0,0,,1,Fully vaccinated people are still getting covid.  I think the vaccine strategy is useless,AlternativeTreatmentsBad,,,0,VaxDoesntWork,,FALSE
50-75,0,0,,1,"Need a vaccine? Use this as your guide. Florida will get 811,400 COVID vaccine doses next week, the largest shipment to date. Here’s where they’ll go https://t.co/HOkKdRufxY",AlternativeTreatmentsBad,,,1,VaxAvailabilityInfo,,FALSE
50-75,1,0,0,1,The best preventative to  stop the spread of covid is the vaccine - by your own statement. Cases are increasing by the thousands each day. We are in a crisis and need everyone to be vaccinated. Don’t waste time and money fighting what is so painfully obvious. https://t.co/MT7vQKqraB,AlternativeTreatmentsBad,,,1,Other,VaxStopSpread,TRUE
75-100,0,0,,1,"We can’t just go back to “normal.” 😷 40,000 kids know this all too well. 😢 Please be extra kind 💗… and get the vaccine 💉.https://t.co/1x6OXKwwYt",AlternativeTreatmentsBad,,,1,Other,CovidDanger,FALSE
75-100,1,0,0,1,"Dear anti vaxxers…Any idea why you MF’s don’t have polio?  

Now, PLEASE go get the COVID vaccine. ICU beds in Florida don’t have room for you.",AlternativeTreatmentsBad,,,1,Other,CovidDanger,TRUE
75-100,0,0,,1,what's the point of getting the vaccine if you can still catch COVID????????!!!!!!!,AlternativeTreatmentsBad,,,0,VaxDoesntWork,,FALSE
top 25,1,0,0,1,@yattayatta3v7 @WarOnDumb Is the flu vaccine on there? Because you can’t compare a small pox vaccine to a Covid-19 vaccine.,AlternativeTreatmentsGood,,0,,Other,VaxComparison,TRUE
top 25,0,0,,1,"@etanthomas36 “It seems like a lot of ppl who got vaccinated didn’t understand they still can get COVID” … this vaccine is no different than any other vaccine they’ve received. Many are not well informed, tend not to read / research and don’t understand what a vaccine actually is or does.",AlternativeTreatmentsGood,,,0,UnjustifiedFearOfVax,,FALSE
top 25,0,0,,1,US administers 2.9 million doses of COVID vaccine today.,AlternativeTreatmentsGood,,,0,VaxEffortsProgression,,FALSE
25-50,0,0,,1,"@liliya2302 @US_FDA These vaccines have been tested, they would not be guinea pigs. Children are indeed at risk for getting covid. They are gathering more evidence every day and it appears the vaccines do indeed stop transmission. Being more scared of the vaccine than the virus is ridiculous.",AlternativeTreatmentsGood,,,0,UnjustifiedFearOfVax,,FALSE
25-50,0,0,,1,@GeneBuryakovsky @WalterJ02130480 @DarrenPlymouth Or covid 19 is a world killer without the vaccine hence the vaccine is good even if there are occasional side effects?,AlternativeTreatmentsGood,,,0,UnjustifiedFearOfVax,,FALSE
25-50,1,1,,1,the covid vaccine is airborne™️ vitamin c tablets and a diet ginger ale,AlternativeTreatmentsGood,,,1,,,FALSE
50-75,0,0,,1,"@ChameleonKamala @timjohnson_86 @tomselliott @jimsciutto @theintercept @GovRonDeSantis Interesting that folks who wouldn’t take a vaccine because it was not “Approved”, will take random meds NOT APPROVED to treat Covid. Things like ivermectin are possible treatments for Covid, not preventative measures, like the FDA APPROVED vaccine.",AlternativeTreatmentsGood,,,0,AlternativeTreatmentsBad,,FALSE
50-75,1,1,,1,@US_FDA I wish the FDA and the CDC and the so called Dr. Fauci would quit trying to put fear in people. The FDA will not approve the covid vaccine except on an emergency basis. Ivermectin has shown to work against Covid-19. If something works why not continue with it?,AlternativeTreatmentsGood,,,1,,,FALSE
50-75,1,1,,1,"@AmericaisB @henrymcmaster They both had Covid, got antibody treatments, and recovered before getting one of the first doses of the vaccine.",AlternativeTreatmentsGood,,,1,,,FALSE
75-100,0,0,,1,@ISLANDCHULA28 @Jessrm0205 @QuanDBtalk The COVID vaccine is FDA approved.,AlternativeTreatmentsGood,,,0,VaxApprovalInfo,,FALSE
75-100,0,0,,1,covid is a type of coronavirus. so was sars. there are many thats why its called covid-19. this vaccine didnt appear out of thin air. it was developed from previous coronavirus research and it only takes a simple google to understand this.,AlternativeTreatmentsGood,,,0,Other,VaxSafe,FALSE
75-100,1,0,0,1,"Vaccines contain the same germs that cause disease. But they have been either killed or weakened to the point that they don’t make you sick. Some vaccines contain only a part of the disease germ. 

They have never isolated COVID-19. So how is this Bio Modification shot a vaccine?",AlternativeTreatmentsGood,,,1,Other,VaxComparison,TRUE
top 25,1,0,1,1,"Hypothetical: @youtube bans a video of a doctor warning about possible side effects of covid vaccines including clotting and death weeks ago due to “covid misinformation” your family member is one of a few who died from a clotting issue due to the vaccine, you could probably sue",AntiVaxersSpreadMissinfo,,,1,ProVaxersSpreadMissinfo,,TRUE
top 25,0,0,,1,"On the real though this vaccine is so damn effective, we knew from the beginning that you could still contract  covid no one was stating otherwise, but it really makes your symptoms so so mild and non life-threatening",AntiVaxersSpreadMissinfo,,,1,VaxLessensSymptoms,,FALSE
top 25,0,1,0,1,"Conservative Nashville radio host hospitalized with COVID-19 regrets vaccine stance https://t.co/ZqgZD214ZH

Right now, Phil is using an oxygen machine to help him breathe.

He's been an outspoken skeptic of the COVID-19 vaccine and never got it himself.",AntiVaxersSpreadMissinfo,,,1,,,TRUE
25-50,0,0,,1,"@benbrookjohn Yes, this Delta variant is no joke. Anyone who isn't getting a COVID vaccine is playing Russian Roulette.",AntiVaxersSpreadMissinfo,,,1,Other,CovidDanger,FALSE
25-50,1,0,0,1,“Fully vaccinated @chrisrock is sick with covid so you should get vaccinated too” isn’t the vaccine advertisement the media seems to think it is. 🤷🏼‍♂️,AntiVaxersSpreadMissinfo,,,1,ProVaxersSpreadMissinfo,,TRUE
25-50,0,0,,1,A soulcycle instructor got the Covid vaccine as an “educator” cutting lines from real teachers who see students face-to-face. 🤢🤢🤢 such an asshole,AntiVaxersSpreadMissinfo,,,0,Other,VaxFairness,FALSE
