theme,top_25_tweets,Annotation
inefficacy of vaccine,"@GrumpAdam @tedlieu Anthrax is like 90% fatal without treatment.  for covid, 95%+ of people under 50 dont even need the hospital.  Half the people with covid need a test to even know they have it.  I got the vaccine, but only dummies like @GrumpAdam fall for this argument",0
anti-vaccine conspiracy outcomes,@Jodicab22 @mainstreetnorth Same. I work with one who swears since she had COVID she is above the vaccine and her body will protect her.,0
family covid vaccine experience,1st dose of Covid vaccine scheduled for Monday and I could not be more thrilled.,0
wholesome reactions to getting the vaccine,"Won’t be taking any “Covid” vaccine until they are proven safe and effective through proper trials over time.  Two years, minimum, maybe longer. https://t.co/fXTwWkqTO6",0
anti-vaccine conspiracy outcomes,"@reeves_1296 @factnotoptional @DannyReeves33 Maybe we have more compassion for the hundreds of people he has influenced to belittle COVID and reject a free vaccine. If you haven't yet, please get a vaccine tomorrow. If he's well enough tomorrow, please encourage him to ask people to vax up instead of just for prayer.",0
criticism of governments' response to vaccine,"@haroldpollack @gelbach *hastily drafts class action*

“Have you recently gotten your COVID vaccine? And had transmission problems in your automobile? Many Americans are suffering transmission problems as a side effect of the vaccine, and the drug companies must pay. Our lawyers are standing by...”",1
covid related deaths,"@rizzosarge I don’t like to individually shame anyone for not being vaccinated. There are many valid reasons to not get the COVID vaccine, including being allergic to it. But I do think we should continue to encourage vaccination and hopefully more people will get it.",0
family covid vaccine experience,2nd Covid vaccine today! Hoping I don’t get the 2nd dose crud! 🤞🏼,0
pharmacy hiring,The COVID-19 Vaccine Clinic scheduled for Friday at the Riverside Health Center is FULL!! We were allocated 300 doses and all of those doses have been allotted to members of the community 80 and up. https://t.co/F8HlCdYJP6,0
halting vaccination due to adverse effects,"#BREAKING (AP): US recommends 'pause' for single-dose Johnson &amp; Johnson COVID-19 vaccine to investigate clotting reports. @WOODTV 
 https://t.co/KlkUP9Ivmb",1
wholesome reactions to getting the vaccine,Finished my COVID vaccine doses 😎,1
anti-vaccine conspiracy outcomes,@MidSouthMax1 @POTUS Vaccine basically keep you from dying or being put in the hospital but you can still get Covid after being vaccinated... they're smart for being cautious ⚠️,0
inefficacy of vaccine,Vaccine did Not stop the flu but COVID did the experts ✋the flu with. COVID-19,0
family covid vaccine experience,"Wonder how the COVID vaccine is working for those who have taken it...
So far I know 1 person who has been sick &amp; others who are waiting to see if they will become ill...😊",0
criticism of governments' response to vaccine,This is how they got the COVID-19 vaccine quickly ⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️ https://t.co/gAinhLtdEa,0
wholesome reactions to getting the vaccine,"The case for NOT getting COVID vaccine

https://t.co/Z363NBFsbi",0
criticism of governments' response to vaccine,"50K+ #Google searches 4 Publix COVID vaccine 4h old https://t.co/fJMx62tUCk https://t.co/CkNhy3hm2r 
#Florida 🌅 7:04 🌆 18:18 CST
#Covid19
#Florida 02/10/2021
New CS 7537 14DCSΔ +5.9%
New D 160 14DDΔ +7.4% https://t.co/CLWnVhNxGy",0
inefficacy of vaccine,@nytimes But remember that COVID carries a great risk of permanent disability and death. The covid vaccine saves lives as proven by the fact that over 95% of the covid patients in ICU are Unvaccinated. Just saying.,0
Error,🤦🏻 😢 💉 60 million doses of Johnson &amp; Johnson's #COVID19 vaccine to be discarded due to contamination risk at troubled Baltimore plant - NYT #Covid,0
trump supporters saying biden is wrongfully taking credit for vaccine,But diseases is getting worseUS to share 80 million vaccine doses with the world; Biden says infections down in all 50 states: Latest COVID-19 updates https://t.co/4r85lKyhPQ,0
community vaccine equity,Got question about the covid vaccine?? Perfectly valid! Come hear from some incredible Black leaders and get your questions answered. See you at 5:30- let’s protect our community! 💪🏾 https://t.co/wE1WLzaMq9,1
