theme,top_25_tweets,Annotation
VaccineEfficacyDenial,"COVID is here to stay, no matter what. 
Plenty of ppl get the flu vaccine, they get the flu. Since COVID now has a vaccine, why are they locking everything down, but they never did for the flu? I’m so confused.",1
GotVaccinated,"I am Fully Vaccinated now.... It's time to return to the normal life.... hopefully... very soon. 🙏🏾 Gonna celebrate a little at ICCON Park on I-Drive in Orlando, FL. #vaccinationdone✔️ #vaccine #health #safety #life #lifestyle #medicine #orlando #return #pfizer #covid_19 https://t.co/qqDfKMEsqU",1
GetyourCOVIDvaccine,"One week after I get my 1st dose of the COVID vaccine, I get this.  #shoulditellthem @ Fort Lauderdale, Florida https://t.co/E91vbHNLuH",0
Skepticism_over_the_covid_vaccine,@ThePyleFyle @TimBurnIAFF @JesseKellyDC Vaccinated are getting everyone sick. Vaccinated are cause of Delta Variant. COVID-19 is a bio weapon. The hastily prepared vaccine is nothing but a key to the first boobytrap.,1
WhereToGetVaccine,NC COVID vaccine clinic. Reserve your appointment today! Available for tomorrow and the following Friday! https://t.co/4Zt0U5WXrT https://t.co/5X0H8TP1TU,1
ProCOVIDvaccine,"@OutBoulder County is conducting a brief, anonymous survey about thoughts and needs regarding the COVID-19 vaccine to help them better serve the community!

Go to https://t.co/EcTp111ETW",0
Encouraging_people_to_get_the_covid_vaccine,"@CopperpotChestr @TadGhostal3 @WSJ @WSJopinion the vaccine if you haven’t already done so, whether or not you’ve had COVID-19. Our best hope of winning this contest with the virus is to get as many people immunized now as possible. That will save lives, and reduce the likelihood of even more variants appearing that might 2/3",1
WhereToGetVaccine,"2nd Covid 19 vaccine completed! Thanks for looking out for us Cook County :)
.
#IGotMyShotCookCounty @CookCountyGov @CookCountyHHS @CCDPH @ Chicago, Illinois https://t.co/FEZNsJ2C2D",1
ProCOVIDvaccine,"So thrilled to have had 4  COVID-19 clinics run on Thursday! We're stamping out the devastating disease that has rocked the world with one simple act, getting the vaccine out!  Staff, residents, and essential caregivers were able to take their first step to a Covid free life! 💗 https://t.co/rUsM0RsilR",1
AntiRepublican,"Insanity.
Rand Paul says he won't get a Covid vaccine https://t.co/oJzksKepLl",1
Receiving_first_dose_of_covid_vaccine,Yes!!! I just got my first vaccine shot #COVID #vaccine #Moderna https://t.co/KCpNH6BdTZ,1
AntiCovidVaccine,@UncleTacitus @govkristinoem Dude stop it... No one has said this.. Making up a false narrative.. Some businesses and airlines ask for a negative Covid test or proof of Vaccine because WE IN A PANDEMIC..... seriously do better,0
AntiRepublican,"From ABC News:

Racial disparities trouble COVID-19 vaccine rollout

https://t.co/ApEpPjx6Aa",0
Skepticism_over_the_covid_vaccine,"Vaxxed, masking, and still got COVID. I’m so grateful for the vaccine because I truly can’t imagine how much worse this would be without it. Get vaccinated. Please.",0
Experiences_of_vaccine_side_effects,"Not gonna lie: the last 12 hours post-COVID vaccine have been rough. Chills, low fever, exhaustion, and just generally feeling crummy. I’m assured it will pass by tomorrow (and some of it already has). 

Regardless, one crap day is worth it. The body is an amazing thing.",1
COVIDvaccineonlyreducestheeffectsofCOVID,Idk why people think when you get the vaccine you don’t get covid... it’s like the flu shot. You’re getting flu from the shot to decrease the chance of getting it not preventing it...,1
Criticising_political_figures,@KevinKileyCA @Liberty_Ctr The original sin of this pandemic is the Republcan politicans and media personalities who politicized the COVID vaccine.,1
Information_about_covid_vaccine_availability_and_appointments,"New COVID vaccine appointments available for 98126 at Walgreen Drug Store, 6330 35TH AVE SW, SEATTLE, WA. Make your appointment at https://t.co/W3ki0Bekd0",1
GettingtheCOVIDvaccine,Just walked by to ask if any left-over vaccines may be available &amp; to get on the wait list. Moscone Center COVID Waitlist will reopen on the 23rd.  #COVID19 #vaccine #ValentinesDay https://t.co/bE8U7G0TQk,1
ProCOVIDvaccine,@wkyc Very sad.  Watch the numbers start going up again. Covid is resl not enough people getting their shots.  They should have had a vaccine clinic down there. Should have one at Cedar Point when it opens too.,1
FDAapprovesCOVIDvaccine,"Excellent. Now, those of you who were waiting for full approval of the COVID vaccine: go get that 💉! https://t.co/uMhIqnarYY",1
WhereToGetVaccine,Jefferson Co. and city homebound residents in need of Covid vaccine not able to get help  https://t.co/Mw26KaN4KW,1
Experiences_of_vaccine_side_effects,"My review after Covid vaccine # 2.....I feel awful - fever, chills, exhausted, body aches. 😣",1
AdvocateForVaccine,Guys if you need a covid vaccine! Here’s some info regarding the vaccination clinic at my work place. I am vaccinated! Now it’s your turn guys!!! Lets help each other to stop this 🦠 .. https://t.co/ooTZF3QqUY,1
Vaccine_accessibility_and_distribution,"A special thank you to The @CourierTimes reporter, @marioncallahan, for her recent story on Bucks County vaccine sites and Lower Bucks Hospital.

Check it out: https://t.co/307F2GBR4S https://t.co/IGrUrLqv3z",1
AdvocateForVaccine,It is stupid to risk Covid for life with all entailing health problems rather than get an easy safe vaccine. Makes no sense. Get #vaccinated https://t.co/pJUndjtG3D,1
ProCOVIDvaccine,"@KariLake @gcu @AllianceDefends For over a year and a half nurses were allowed to work with patients, including those with covid. Now suddenly they can't work unless they get an experimental vaccine that does not prevent becoming infected or the spread of the virus.

This is not science based or logical.",0
Criticising_political_figures,@thedailybeast Another example of our disorganized COVID vaccine program. She is not an educator. 😑,1
GotVaccinated,"Got my first shot of the COVID-19 vaccine today 💉 
#Covid_19 #vaccine #Pfizer https://t.co/mSZne2h1hf",1
Skepticism_over_the_covid_vaccine,@veryvirology @AFawn13 Some lawyer needs to find a judge to challenge these mandates and soon. If the objective of vaccine companies is to produce a vaccine to prevent infections with lasting results it’s not happening. Vaers breakthroughs covid cases multiple boosters prove that. Warp speed contract,1
WhereToGetVaccine,"New COVID vaccine appointments available for 29210 at Walgreen Drug Store, 1223 SAINT ANDREWS RD, COLUMBIA, SC. Make your appointment at https://t.co/W3ki0Bekd0",1
NegativeviewonTrump,@SeniorMoments17 @PrestonsTrey @Reuters Add this dramatic God-Awful tweet to your senior moments. (https://t.co/SHnt0HeBkp),0
AntiCovidVaccine,"@AmandaUtley2 @CDCgov I don’t claim to know more, but other people who do say he’s wrong.

He’s also promoting a medication for COVID that hasn’t actually been tested for it. Weird - I guess you’re okay with no clinical trials for that, but have a problem with the tested vaccine.",0
GettingtheCOVIDvaccine,"New COVID vaccine appointments available for 98036 at Walgreen Drug Store, 20725 HIGHWAY 99, LYNNWOOD, WA. Make your appointment at https://t.co/W3ki0Bekd0",1
Skepticism_over_the_covid_vaccine,This federal government vaccine response policy to Covid may prove to be the greatest malpractice and malfeasance in the history of medicine and public health. https://t.co/6kW2O9R07h,0
Criticising_political_figures,@joncoopertweets Right!?!?  Billions of people have taken the covid vaccine but nooo we trust the horse and cow meds?   Really?  Please stop yourself,1
AntiRepublican,"Recent work for Finland's largest paper @hsfi, exploring Covid-19 vaccine hesitancy in Mississippi, the least vaccinated state in the nation. For this article, writer @asberner spoke with both sides — supporters and opposers of the vaccine. https://t.co/IxJ7Gyikjh",0
Encouraging_getting_the_vaccine,"@SupJaniceHahn When vaccine rates slow more, know that you all contributed to that. There is now zero incentive to convince these people ‘cause you all just taught everyone nothing will change for them. Society will never reach “covid zero.” Stop pretending that’s the goal. It’s unrealistic.",0
FDAapprovesCOVIDvaccine,very exciting to wake up to the news that the @US_FDA has fully approved Pfizer’s covid-19 vaccine. also very exciting to see @US_FDA twitter bio https://t.co/Uq5BDg5KcI,1
ProCOVIDvaccine,@SedgwickCounty kudos to the health dept and emergency management on your Covid vaccine distribution sites.  Well done to everyone!,1
